CustomerID,TotalSpend,TotalQuantity,NumberOfTransactions,AverageOrderValue,AverageUnitPrice,RecencyDays,SpendSegment
12346,372.86,70,11,11.298787878787879,6.253333333333334,165,Low
12347,1323.32,828,2,18.63830985915493,2.295070422535211,3,High
12348,222.15999999999997,373,1,11.107999999999999,0.7195,74,Low
12349,2671.14,993,3,26.18764705882353,8.581764705882353,43,High
12351,300.93,261,1,14.33,2.355238095238095,11,Low
12352,343.8,188,2,19.1,3.033333333333333,11,Low
12353,317.76,192,1,15.888,1.939,44,Low
12355,488.21000000000004,303,1,22.191363636363636,2.399090909090909,203,Medium
12356,3560.3,1825,3,42.89518072289157,3.12566265060241,16,High
12357,12079.99,3879,2,73.2120606060606,8.458424242424242,24,High
12358,2719.01,831,3,46.879482758620696,4.41603448275862,11,High
12359,2563.36,1130,6,21.90905982905983,4.732393162393163,61,High
12360,1590.83,1294,5,18.077613636363637,2.7070454545454545,15,High
12361,321.35,144,3,16.913157894736845,4.152631578947369,98,Low
12362,130.0,1,1,130.0,130.0,374,Low
12366,500.24,296,1,166.74666666666667,1.6900000000000002,269,Medium
12368,917.7,330,1,50.983333333333334,4.391666666666667,264,Medium
12369,1791.15,1241,3,19.25967741935484,3.148924731182796,49,High
12370,774.62,252,3,22.132,6.410285714285715,260,Medium
12371,2179.42,845,3,20.95596153846154,4.05625,45,High
12373,763.0500000000001,319,2,20.622972972972974,4.644594594594595,260,Medium
12374,2246.29,1020,3,44.9258,2.9894,57,High
12376,503.15,240,2,38.70384615384615,8.03076923076923,25,Medium
12377,1798.2,1161,2,23.976,2.762266666666667,17,High
12378,1407.7,787,1,17.167073170731708,4.402073170731708,198,High
12379,767.98,408,2,18.73121951219512,2.948780487804878,58,Medium
12380,6951.49,2228,7,40.18202312138728,13.81179190751445,101,High
12385,1938.4,612,1,29.821538461538463,3.6807692307692306,15,High
12386,258.90000000000003,214,1,32.362500000000004,2.72625,2,Low
12387,143.94,134,1,15.993333333333332,2.7622222222222224,51,Low
12388,1120.45,539,2,24.357608695652175,2.9269565217391307,81,Medium
12389,1433.33,614,3,29.251632653061222,2.6542857142857144,38,High
12391,2285.18,911,5,13.133218390804597,4.521896551724137,100,High
